	Title	Samples
0	的	363
1	了	210
2	她	159
3	是	143
4	不	138
5	一	135
6	我	113
7	来	103
8	有	97
9	在	91
10	人	86
11	也	80
12	说	77
13	就	68
14	这	62
15	着	60
16	到	60
17	大	59
18	去	57
19	家	56
20	里	54
21	上	54
22	得	51
23	然	49
24	四	48
25	天	46
26	个	46
27	还	45
28	么	45
29	他	42
30	没	41
31	时	39
32	们	38
33	你	38
34	而	38
35	只	37
36	嫂	37
37	子	37
38	见	37
39	又	36
40	林	36
41	事	35
42	出	33
43	那	33
44	自	32
45	祥	32
46	道	31
47	已	31
48	起	31
49	后	31
50	婆	30
51	但	30
52	话	30
53	回	28
54	和	27
55	眼	27
56	知	27
57	下	27
58	于	26
59	年	26
60	看	26
61	要	26
62	都	25
63	老	25
64	阿	24
65	所	24
66	叔	24
67	以	24
68	很	23
69	可	23
70	之	23
71	什	23
72	过	22
73	头	22
74	似	22
75	听	21
76	经	21
77	为	20
78	好	20
79	中	20
80	小	20
81	呢	19
82	地	19
83	样	19
84	镇	19
85	己	19
86	如	19
87	候	19
88	走	19
89	气	19
90	问	18
91	想	18
92	便	18
93	多	18
94	开	18
95	会	18
96	婶	17
97	全	17
98	些	17
99	工	16
100	无	16
101	前	16
102	手	16
103	却	16
104	女	16
105	男	16
106	真	15
107	先	15
108	两	15
109	乎	15
110	死	15
111	直	14
112	用	14
113	色	14
114	白	14
115	十	14
116	打	14
117	给	14
118	生	14
119	雪	14
120	正	14
121	笑	14
122	做	14
123	卫	14
124	神	14
125	山	13
126	花	13
127	明	13
128	再	13
129	此	13
130	声	13
131	从	13
132	吃	12
133	脸	12
134	福	12
135	放	12
136	几	12
137	太	12
138	门	12
139	鲁	12
140	才	12
141	早	12
142	叫	12
143	二	12
144	饭	12
145	答	12
146	意	11
147	即	11
148	竟	11
149	约	11
150	实	11
151	发	11
152	清	11
153	寻	11
154	当	11
155	句	11
156	新	11
157	因	11
158	成	11
159	面	11
160	且	10
161	心	10
162	现	10
163	常	10
164	住	10
165	呀	10
166	接	10
167	篮	10
